City,State,Country,Property Type Cleaned,Sub-Area Cleaned,Company Name Cleaned,TownShip Name/ Society Name Cleaned,Description Cleaned,ClubHouse Cleaned,School / University in Township Cleaned,Hospital in TownShip Cleaned,Mall in TownShip Cleaned,Park / Jogging track Cleaned,Swimming Pool Cleaned,Gym Cleaned,Property Area in Sq. Ft. Cleaned,Price in lakhs Cleaned
pune,maharashtra,india,3,ravet,sukwani associates,sukwani aspire,"welcome to sukwani aspire – flats in ravet an excellent opportunity in a rapidly growing residential area for a great living. situated in ravet, sukwani aspire location translates into an advantageous investment in east pune’s most flourishing location.",1,0,0,0,1,1,1,1030.0,79.0
pune,maharashtra,india,1,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is a wonderful property offering 1 bedroom apartments with ready lifestyle amenities. from health to nature to entertainment, it offers a complete package to satisfy everyone in your family. in short, mantra 29 gold is the best value that you will get for your money.",1,0,0,0,1,0,1,446.0,37.0
pune,maharashtra,india,2,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is a wonderful property offering 2 bedroom apartments with ready lifestyle amenities. from health to nature to entertainment, it offers a complete package to satisfy everyone in your family.",1,0,0,0,1,0,1,796.0,57.0
pune,maharashtra,india,2,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold comes with connectivity to the kharadi it hub and the booming industrial belt of rajangaon-lonikand, kharadi is fast transforming into pune’s most sought-after destination. easy accessibility to pune airport, star hotels and lifestyle malls adds greater value for a convenient and happy lifestyle.",1,0,0,0,1,0,1,842.0,59.0
pune,maharashtra,india,2,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold offers you state of the art amenities and at the same time is budget friendly. proximity to kalyani nagar, ranjangaon industrial area, and it hubs at kharadi, kalyani nagar, and magarpatta.",1,0,0,0,1,0,1,865.0,61.0
pune,maharashtra,india,2,kharadi,mantra properties,mantra 29 gold,"easy access to the upcoming metro station under the proposed metro phase – 1 (linking vanaz to ramwadi). more than 400 resident families at mantra 29 gold are already enjoying a happy lifestyle, which makes this your best choice",1,0,0,0,1,0,1,902.0,63.0
pune,maharashtra,india,2,kharadi,mantra properties,mantra 29 gold,mantra properties proudly presents the gold standard in community living.these imposing 32 storey towers are spread over a sprawling 7 acres. close to star hotels and lifestyle. easy connectivity to pune airport.,1,0,0,0,1,0,1,1154.0,79.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"designed by p&t singapore, one of the worlds best architect firms, the homes are seamless blend of the mantra 29 gold standard of lifestyle and affordability. on the inside, its compact 1,2 & 3 bhk apartements offer you an exceptional lifestyle. with all basic amenities included.",1,0,0,0,1,0,1,872.0,61.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"welcome to mantra 29 gold – 3 bhk flats in kharadi an excellent opportunity in a rapidly growing residential area for a great living.amenities area reserved at the top terrace, indoor games for children on the 7th floor and a 2 – level parking for convenience make this project truly unique.",1,0,0,0,1,0,1,934.0,65.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold's – 3 bhk flats, location translates into an advantageous investment in east pune’s most flourishing location. with connectivity to wadgaon sheri, pune it hub and the booming industrial belt of ranjangaon – lonikand, kharadi near pune is fast transforming into pune’s most sought-after destination.",1,0,0,0,1,0,1,1088.0,73.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold offers stylish 3 bedroom apartments.easy accessibility to pune airport, star hotels and lifestyle malls add greater value for a convenient and happy lifestyle.",1,0,0,0,1,0,1,1109.0,76.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"with over 50+ years of excellence in real estate executing successful commercial and residential projects, mega townships, it parks, retail malls in pune, this is one of our best. it come with a huge swimming pool, a well built gym and a recreational club.",1,0,0,0,1,0,1,1163.0,80.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold project has 2 &3 bhk flats in kharadi, pune. it is a new residential construction in pune. the project is nestled amongst reputed eon & ravet it parks, world-class amanora & seasons malls. the project offers flats for sale in kharadi.",1,0,0,0,1,0,1,1419.0,96.0
pune,maharashtra,india,3,kharadi,mantra properties,mantra 29 gold,"mantra 29 gold is one of the top residential hubs in pune, it is well-connected to other parts of pune such as pimpri and talegaon. areas like aundh, wakad etc. are also easily accessible from the region.",1,0,0,0,1,0,1,1485.0,100.0
pune,maharashtra,india,2,balewadi,mantra properties,mantra monarch,"the newly launched project mantra 29 gold has podium level amenities that speak the language of great design. the township is nestled at the intersection of 2 major routes , old nh-4 highway and mumbai-pune expressway.",1,0,0,0,1,1,1,684.0,70.0
pune,maharashtra,india,3,balewadi,mantra properties,mantra monarch,"located in south-western pune, it is surrounded with natural greens and gets ample fresh air. also offers with many temples and churches nearby for religious activities to be done. it also comes with a package of swimming pools, gym and club house with ample of amenities etc.",1,0,0,0,1,1,1,990.0,90.0
pune,maharashtra,india,2,koregaon park,mantra properties,infinity,"infinity is amongst the best project in pune using modern technology construction for superstructure called alu-form system wherein walls and slabs for a typical floor gets cast at one time.multipurpose hall with outdoor party terrace,gymnasium,indoor kids’ play area with games room.",1,0,0,0,1,1,1,882.0,97.0
pune,maharashtra,india,3,koregaon park,mantra properties,infinity,"infinity offers a a serene and peaceful ambience, easy connectivity to pune airport, close to star hotels and lifestyle malls like phoenix market city, amonora town centre and seasons mall.",1,0,0,0,1,1,1,1103.0,120.0
pune,maharashtra,india,1,keshav nagar,mantra properties,mantra insignia,"mantra insignia – 1 bhk flats in keshav nagar, pune. mantra insignia is as much of a nature lover’s paradise as it is a delight for the aficionados of gracious living.",1,0,0,0,1,1,1,543.0,42.0
pune,maharashtra,india,2,keshav nagar,mantra properties,mantra insignia,"manta insignia located in the prime locality of keshav nagar, this residential property is the perfect abode for those who prefer a home away from the madding crowds, and yet want to be connected to the trappings of modern living.",1,0,0,0,1,1,1,963.0,57.0
pune,maharashtra,india,1,kirkatwadi sinhagad road,mantra properties,7hills,"brilliant architecture, spectacular designs, marvellous finesse all these are yet a notch lower than what defines7 hills at kirkatwadi sinhagad road . enwrapped in the swarovski glamour, these edifices host 1,2 and 3 bedroom luxury apartments in kirkatwadi sinhagad road, punes burgeoning east.",1,0,0,0,1,1,1,320.0,14.0
pune,maharashtra,india,2,kirkatwadi sinhagad road,mantra properties,7hills,"whether you are looking for a cozy, comfortable home amidst nature, or an astute investment that is bound to give high returns, 7 hills qualifies on all counts with,swimming pool, clubhouse,fully equipped gymnasium and children’s play area.",1,0,0,0,1,1,1,473.0,22.0
pune,maharashtra,india,3,kirkatwadi sinhagad road,mantra properties,7hills,"7 hill, a 400 acre destination at kirkatwadi sinhagad road is the long-awaited response for progressive, luxurious, world-class projects in pune. it has house premium projects that offer all lifestyle experiences, without the urban difficulties of pollution, traffic, space congestion and more.",1,0,0,0,1,1,1,581.0,26.0
pune,maharashtra,india,2,akurdi,mantra properties,mantra sky tower,"mantra sky tower also offers to create an enthralling living experience that is harmonious and sensitive to the surrounding ecology, and yet facilitates a high-quality lifestyle that is built on robust foundations of universal design and world-class infrastructure. the 400-acre project would be developed in multiple phases and may contain it parks, schools, hospitals, multiplexes and much more.",1,0,0,0,1,1,1,790.0,80.0
pune,maharashtra,india,2,akurdi,mantra properties,mantra sky tower,"welcome to mantra sky tower. a project that lives up to its name in every which way you see. sky tower is truly surrounded by luxury from all sides. and yet, it plays the perfect host to nature. if you are the sort who loves to come home to luxury that is not obtrusive, or overbearing, but has a delightful joie de vivre about it, you will not be disappointed.",1,0,0,0,1,1,1,820.0,83.0
pune,maharashtra,india,3,akurdi,mantra properties,mantra sky tower,"mantra sky tower – affords you the unique privilege of being cocooned in your own private domain, away from the prying world, while giving you swift and ready access to your city needs and its bright lights. whether its shopping, your kid’s school, or healthcare – it is all just a few minutes’ drive away from home.",1,0,0,0,1,1,1,989.0,101.0
pune,maharashtra,india,3,akurdi,mantra properties,mantra sky tower,"peninsula provides easy connectivity to kothrud, baner, balewadi, hinjewadi it park, pashan, aundh, besides pune-mumbai and mumbaibengaluru highway.ammenities like,tennis court and multi purpose hall are available.",1,0,0,0,1,1,1,1003.0,103.0
pune,maharashtra,india,3,akurdi,mantra properties,mantra sky tower,"the mantra project boasts 5 elegant towers of 12 stories each, offering 2 & 3 bedroom apartment in akurdi pune with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped clubhouse, swimming pool, children’s play park, and landscape garden.",1,0,0,0,1,1,1,1182.0,128.0
pune,maharashtra,india,5,akurdi,mantra properties,mantra sky tower,"with shopping, entertainment, education, health, and transport facilities within 3 to 10 km vicinity, mantra sky tower – a complete package of quality living with happiness and peace of mind!",1,0,0,0,1,1,1,1579.0,163.0
pune,maharashtra,india,0,pimpri pune,ravima ventures,the work club,"the ravima project boasts 5 elegant towers of 12 stories each, offering 2 & 3 bedroom apartment in pimpri pune with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped children’s play park, and landscape garden.",0,0,0,0,1,0,1,163.0,54.0
pune,maharashtra,india,1,tathawade,ravima ventures,newton homes,"brilliant architecture, spectacular designs, marvellous finesse all these are yet a notch lower than what defines7 hills at tathawade . enwrapped in the swarovski glamour, these edifices host 1,2 and 3 bedroom luxury apartments in tathawade, punes burgeoning west.",0,0,0,0,1,0,1,491.0,39.0
pune,maharashtra,india,2,tathawade,ravima ventures,newton homes,"ravima ventures also offers to create an enthralling living experience that is harmonious and sensitive to the surrounding ecology, and yet facilitates a high-quality lifestyle that is built on robust foundations of universal design and world-class infrastructure. the 400-acre project would be developed in multiple phases and may contain it parks, multiplexes and much more.",0,0,0,0,1,0,1,659.0,51.0
pune,maharashtra,india,2,tathawade,ravima ventures,newton homes,"newton home's – 3 bhk flats, location translates into an advantageous investment in north pune’s most flourishing location. with connectivity to tathwade, pune it hub and the booming industrial belt tathwade near pune is fast transforming into pune’s most sought-after destination.",0,0,0,0,1,0,1,732.0,60.0
pune,maharashtra,india,3,tathawade,ravima ventures,newton homes,"newton homes located in the prime locality of tathwade, this residential property is the perfect abode for those who prefer a home away from the madding crowds, and yet want to be connected to the trappings of modern living.",0,0,0,0,0,0,1,809.0,66.0
pune,maharashtra,india,1,hadapsar,proviso group,lesiure town,"presenting proviso group, a thoughtfully designed architectural marvel with an essence of greek lifestyle in every aspect, right amidst the flourishing neighbourhood of hadapsar. from seamless connectivity to uninterrupted views of the vicinity, this project provides the best of comfort & conveniences.",0,0,0,0,1,1,1,460.0,45.5
pune,maharashtra,india,2,hadapsar,proviso group,lesiure town,leisure town are offering 2 & 3 bhk flats in hadapsar – pune. the newly launched project has podium level amenities that speak the language of great design and functionality.,0,0,0,0,1,1,1,734.0,72.5
pune,maharashtra,india,2,hadapsar,proviso group,lesiure town,"the robust infrastructure, quality materials, thoughtful design, and impressive facades are a hallmark of excellence developed by proviso group . with swimming pool and gym facilities. temples and churches are nearby",0,0,0,0,1,1,1,753.0,73.5
pune,maharashtra,india,2,hadapsar,ravima ventures,newton homes,"the ravima project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in hadapsar,pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse and landscape garden.",0,0,0,0,1,0,0,675.0,62.0
pune,maharashtra,india,3,hadapsar,ravima ventures,newton homes,"the newton homes project boasts 6 elegant towers of 11 & 12 stories, offering 3 bedroom apartment in hadapsar,pune with the quality specification and great community living in form of amenities like park and garden",0,0,0,0,1,0,0,917.0,84.0
pune,maharashtra,india,2,kiwale,unique properties,k ville,"presenting k ville, a thoughtfully designed architectural marvel with an essence of greek lifestyle in every aspect, right amidst the flourishing neighbourhood of kiwale. from seamless connectivity. here, discover various unique lifestyle avenues catering to the needs of every age group within a vibrant community of like-minded residents.",1,0,0,0,1,1,0,670.0,54.14
pune,maharashtra,india,2,kiwale,unique properties,k ville,"located in the prime locality of kiwale, this residential property is the perfect abode for those who prefer a home away from the madding crowds, and yet want to be connected to the trappings of modern living. the pristine pashan lake is virtually your neighbour, and coming home to the soft murmurs of its lapping waters is a luxury not many are privy too.",1,0,0,0,1,1,0,740.0,58.32
pune,maharashtra,india,2.5,kiwale,unique properties,k ville,"a perfect blend of luxury, convenience and connectivity, k ville features an environment that revolves around your lifestyle, not the other way round. being located amidst the city's top social infrastructure this address offers unmatched connectivity to various landmarks.",1,0,0,0,1,1,0,847.0,69.38
pune,maharashtra,india,2.5,kiwale,unique properties,k ville,"a project of 2 & 3 bhk residences, every feature here has been thoughtfully planned keeping you and loved ones in mind. we at unique believe that the key to true happiness lies in spending quality time with your near and dear ones. even the amenities, spread across 37,000 sq.ft. will leave you with plenty of avenues to discover the fun side of life.",1,0,0,0,1,1,0,936.0,75.03
pune,maharashtra,india,3,kiwale,unique properties,k ville,"located in the beautiful, upscale locale of kiwale that stands out as a true symbol of tasteful luxurious living. this lavish and thoughtfully designed multi-storied project consists of 154 units of apartments. each home features dedicated 
wardrobe niches in master bedroom, branded bathroom fittings, space-efficient for modular kitchen, and large living space.",1,0,0,0,1,1,0,990.0,79.02
pune,maharashtra,india,3,kiwale,unique properties,k ville,"offering configurations for flats in kiwale, the project is located away from the hustle and bustle of city life. gear up to calmer and peaceful environs own home at happycity k villenow!",1,0,0,0,1,1,0,1032.0,82.1
pune,maharashtra,india,3,kayani nagar,sagitarius ecospaces llp,bluegrass residences,"the project boasts 3 elegant towers of 12 stories, offering 2,3 & 4 bedroom apartment in model colony, kalyani nagar, pune. with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped clubhouse, children's play area, and senior citizen area.",1,0,0,0,1,1,1,1698.0,249.0
pune,maharashtra,india,4,kayani nagar,sagitarius ecospaces llp,bluegrass residences,"the project boasts 3 elegant towers of 12 stories, offering 2,3 & 4 bedroom apartment in kalyani nagar, pune. with the quality specification, pleasing design, and great community living in form of amenities like a well-equipped clubhouse, children's play area, and senior citizen area.",1,0,0,0,1,1,1,2267.0,460.0
pune,maharashtra,india,2,pisoli,nirman developers,brookefield willows,"brookefield willows is offering residential 2 bhk and office spaces at affordable pricing. a great strategic location in pisoli, the highway & expressway has great connectivity.",1,0,0,0,1,1,1,670.0,45.75
pune,maharashtra,india,2,pisoli,nirman developers,brookefield willows,"the project offers elegant bhk homes that spell sophistication in its truest sense. here every day you'll be mesmerised by the scenic setting of the meandering indrayani river, rollicking hills.",1,0,0,0,1,1,1,725.0,49.34
pune,maharashtra,india,2,pisoli,nirman developers,brookefield willows,the project offers elegant 1 & 2 bhk homes that spell sophistication in its truest sense. with temples nearby to visit and spend your eveing,1,0,0,0,1,1,1,731.0,49.74
pune,maharashtra,india,2,pisoli,nirman developers,brookefield willows,the project offers elegant 1 & 2 bhk homes that spell sophistication in its truest sense. gear up to calmer and peaceful environs own home at happycity brookfield willows,1,0,0,0,1,1,1,744.0,50.56
pune,maharashtra,india,3,pisoli,nirman developers,brookefield willows,the project offers elegant 1 & 2 bhk homes that spell sophistication in its truest sense. being located amidst the city's top social infrastructure this address offers unmatched connectivity to various landmarks.,1,0,0,0,1,1,1,923.0,923.0
pune,maharashtra,india,3,pisoli,nirman developers,brookefield willows,"the project offers elegant 1 & 2 bhk homes that spell sophistication in its truest sense. here, discover various unique avenues catering to the needs of every age group within a vibrant community of like-minded residents.",1,0,0,0,1,1,1,930.0,930.0
pune,maharashtra,india,1,manjri,jhala group,tranquility annexe,"at tranquility annexe, we're creating homes that honor your need for space and celebrate it. we bring you spacious apartments, equipped with all the trending amenities and high end specifications.",1,0,0,0,1,1,1,446.0,36.0
pune,maharashtra,india,2,manjri,jhala group,tranquility annexe,"at tranquility annexe, happiness isn't confined to small spaces. it runs freely amidst the big balconies, leaps forward in the open areas and stares joyfully at the vast skies. so, leave behind all your compromises , space crunches and small dreams.",1,0,0,0,1,1,1,670.0,55.0
pune,maharashtra,india,2.5,manjri,jhala group,tranquility annexe,"the project boasts 3 elegant towers of 12 stories, offering 2,3 & 4 bedroom apartment in manjri, pune. ammenities like,tennis court and multi purpose hall are available.",1,0,0,0,1,1,1,792.0,65.5
pune,maharashtra,india,2,mahalunge,jhala group,mahalunge riviera,"at mahalunge riviera .we bring you spacious apartments, equipped with all the trending amenities and high end specifications.",1,0,0,0,1,1,1,1180.0,68.0
pune,maharashtra,india,2,mahalunge,jhala group,mahalunge riviera,"at mahalunge riviera , we're creating homes that honor your need for space and celebrate it. with temples nearby to visit and spend your eveing",1,0,0,0,1,1,1,860.0,65.0
pune,maharashtra,india,3,mahalunge,jhala group,mahalunge riviera,"at mahalunge riviera , we're creating homes that honor your need for space and celebrate it. here, discover various unique lifestyle avenues catering to the needs of every age group within a vibrant of like-minded residents.",1,0,0,0,1,1,1,988.0,92.0
pune,maharashtra,india,3,mahalunge,jhala group,mahalunge riviera,"at mahalunge riviera , we're creating homes that honor your need for space and celebrate it. even the amenities, spread 37,000 sq.ft. will leave you with plenty of avenues to discover the fun side of life.",1,0,0,0,1,1,1,1093.0,92.0
pune,maharashtra,india,1,handewadi,jhala group,simplicity,"simplicity is situated at the entrance of pune and has close access to old and new highway. simplicity is an endeavor which boasts of high quality product in its class, cn heights la a p+12 story residential building of three towers and spread on 7 acres of land and 144 units of 2 and 3 bhk in total",1,0,0,0,1,0,1,456.0,33.5
pune,maharashtra,india,2,handewadi,jhala group,simplicity,"simplicity is situated at the entrance of pune and has close access to old and new highway. simplicity is an endeavor which boasts of high quality product in its class, cn heights la a p+12 story residential building of three towers and spread on 7 acres of land and 144 units. also come with temples and religious plces nearby",1,0,0,0,1,0,1,644.0,47.3
pune,maharashtra,india,2.5,handewadi,jhala group,simplicity,simplicity is situated at the entrance of pune and has close access to old and new highway. cn heights has p+12 story residential of three towers and spread on 7 acres of land and 144 units of 2 and 3 bhk in total .,1,0,0,0,1,0,1,785.0,55.22
pune,maharashtra,india,3,koregoan,shroff developers,aureta,"come claim your dream welcome to a space that is right sized to accommodate all your dreams, ideas and activities. we have enhanced the size with meticulous planning and utmost space optimization.aureta has an extra edge in space and style so that you can explore your dream decor.",0,0,0,0,1,1,1,1060.0,136.0
pune,maharashtra,india,3.5,koregoan,shroff developers,aureta,avani is an excellent combination of cool connectivity and hot lifestyle.this rare residential opportunity has in store appreciation and much more.,0,0,0,0,1,1,1,113.0,143.0
pune,maharashtra,india,2,mundhwa,unique properties,unique legacy royale,"fired by the desire to create thoughtfully designed homes that value innovation, unique properties in pune - unique legacy royale incorporates contemporary designs, lifestyle features and community amenities that appeal to everyone.",0,0,0,0,1,0,1,664.0,47.59
pune,maharashtra,india,2,mundhwa,unique properties,unique legacy royale,"it offers a childrens play area, landscaped gardens and a host of other extravagant amenities. with its earthquake-resistant framed structure, top-quality paint and woodwork, generator backup, premium quality modular switches, etc. it is quite literally, a dream seen with open eyes. step into the arcus of life",0,0,0,0,1,0,1,670.0,47.7
pune,maharashtra,india,2,mundhwa,unique properties,unique legacy royale,"elevation that stands out. sets you apart. experience the architecture and the smartly sketched project layout.unique legacy royale is a property masterpiece that would stand out. its a cluster of upscale homes, complemented well by good set of amenities.",0,0,0,0,1,0,1,673.0,47.8
pune,maharashtra,india,2,mundhwa,unique properties,unique legacy royale,"the outer row of shops in the frontal area will definitely add a lot of value. its a convenient shopping at your doorstep! as desired by you, a home here would up your status & set you distinctively apart in your social acquaitances.",0,0,0,0,1,0,1,682.0,47.91
pune,maharashtra,india,2,mundhwa,unique properties,unique legacy royale,unique legacy royale is in the heart of the city. its your forever. from the landscaped ground to the amenities spaces on zero level to the recreational and leisure zones on the terrace level there are myriad routes to explore en route to never ending delight.,0,0,0,0,1,0,1,698.0,48.02
pune,maharashtra,india,3,nibm,kundan spaces,presidia,"feel the stresses of daily life fall away as you enter your home. attractive elevation at the main gate, 2 automatic elevators, 3 level security, digital locking system for main door, video door phone and intercom facility, invertor backup for each flat.",1,0,0,0,1,1,1,1239.0,161.0
pune,maharashtra,india,3,nibm,kundan spaces,presidia,"in presidia there is a provision for piped gas by mngl, firefighting systems with emergency alarams, solar water systems, provision for common dish antenna.",1,0,0,0,1,1,1,1315.0,170.0
pune,maharashtra,india,3,nibm,kundan spaces,presidia,urban lifestyle comes with chaos - where everyone is trying to reach somewhere. presenting a new residential address in nibm to melt that chaos into calm.,1,0,0,0,1,1,1,1388.0,178.0
pune,maharashtra,india,3,nibm,kundan spaces,presidia,"located amidst the greens of pune city, it's exactly where you wish to reach at the end of the day - a serene cocoon where the fun is complementary. be ready to unwind in the swamp of premium facilities and a posh lifestyle every day. accept the pass to breathe in peace.",1,0,0,0,1,1,1,1463.0,187.0
pune,maharashtra,india,3.5,nibm,kundan spaces,presidia,its time to break the monotony with presidia. presidia is for the ones who dare to dream and have the motivation to achieve it! we believe that individuals with big aspirations have a greater chance of success as compared to those who do not dream at all.,1,0,0,0,1,1,1,1671.0,211.0
pune,maharashtra,india,3.5,nibm,kundan spaces,presidia,"with our experience and knowledge, we have created homes that will never let you stop dreaming! with kundan spaces we have created a complex that boasts of the highest standards of quality, precision engineering and an unbreakable promise of a comfortable and happy lifestyle.",1,0,0,0,1,1,1,1687.0,213.0
pune,maharashtra,india,1,bt kawade rd,kundan spaces,eternia 2.0,"eternia 2.0 has been designed taking into consideration the demands of modern nuclear families. in addition to that, the keshavnagar area is one that is rapidly developing; it can offer you ease of conveyance; it is near to kharadi, magarpatta city, koregaon park, viman nagar and hadapsar.",1,0,0,0,1,1,1,575.0,65.0
pune,maharashtra,india,2,bt kawade rd,kundan spaces,eternia 2.0,"with eternia 2.0, you can rest assured that you have found the perfect safe haven for your family. with firefighting systems with emergency alarams, solar water systems, provision for commonantenna.",1,0,0,0,1,1,1,751.0,84.0
pune,maharashtra,india,2,bt kawade rd,kundan spaces,eternia 2.0,"11 storeys of grandeur await you at bt kawade rd, a thriving urban set up teeming with modern conveniences easily accessible from the pune-mumbai expressway. a home in kundan spaces has all the hallmarks of a kool home; thoughtful design,",1,0,0,0,1,1,1,761.0,85.0
pune,maharashtra,india,2,bt kawade rd,kundan spaces,eternia 2.0,"expensive green spaces, enriching facilities, extravagant amenities and much more. inspired by our pursuit to delight our customer, we have created eternia 2.0 - a home of your own that is an emblem of honour, pride and satisfaction.",1,0,0,0,1,1,1,871.0,96.0
